"network_rtt (ms)","V1_01","V1_02","V1_03","V2_01","V2_02","V2_03","slow1","fast1","fast2"
"local",6.0224,5.1554,5.3091,6.1821,3.4578,9.3948,"N/A","N/A","N/A"
0,5.713023443,5.926930391,6.543784466,5.023881595,3.46692995,12.56045362,17.80742568,11.24655653,6.923144179
25,5.712229885,5.945984943,6.577218089,5.044862376,3.493360081,12.57738678,17.82100728,11.31383311,6.966252697
50,5.714891714,5.972761615,6.607222185,5.063998048,3.529800691,12.60144146,17.8401698,11.38865739,7.039867407
100,5.721769477,6.028749205,6.675701829,5.114999806,3.588982266,12.65269985,17.88653937,11.56647728,7.25101739
200,5.741838687,6.169834264,6.829101935,5.235038231,3.772261479,12.76567895,17.9952366,12.01881303,7.814844563
300,5.779201398,6.339996798,7.016222935,5.362888305,4.023337965,12.91976321,18.1524049,12.59661354,8.524562027
400,5.835398092,6.545728653,7.265359239,5.569193182,4.335747454,13.12645007,18.35592995,13.29675194,9.440579682
500,5.91893969,6.82437898,7.557916428,5.801936407,4.735853872,13.38603519,18.61227152,14.11082426,10.33632371
600,6.030699217,7.122260397,7.90255196,6.076030079,5.194798567,13.69686132,18.91529274,15.02933636,11.3198983
700,6.173528197,7.492010934,8.31073558,6.40728822,5.726862847,14.05720254,19.27782134,16.0653581,12.48224291
800,6.351166938,7.926801371,8.802714728,6.784702429,6.288601898,14.50022458,19.69592793,17.23550772,13.77985062
900,6.560774608,8.391318893,9.346783093,7.238266736,6.921049187,14.98276584,20.18722479,18.49435554,15.2165882
1000,6.754498777,8.953118484,9.963948391,7.73405009,7.619049265,15.55773619,20.77735318,19.91067785,16.82635557
